Origin	Destination	Trip Duration
7	43	54.95
7	44	43.21
7	45	50.45
7	46	52.22
7	47	61.74
7	48	61.06
7	49	75.87
7	50	96.58
7	51	50.68
7	52	71.65
7	53	71.4
7	54	78.26
7	55	62.52
7	56	51.48
7	57	70.77
7	58	49.1
7	59	34.03
7	60	54.96
7	61	56.1
7	62	54.28
7	63	56.84
7	64	58.78
8	9	13.97
8	10	36.51
8	11	56.45
8	12	24.62
8	13	42.45
8	14	56.64
8	15	62.0
8	16	45.96
8	17	70.71
8	18	49.88
8	19	41.26
8	20	23.61
8	21	36.06
8	22	41.79
8	23	47.08
8	24	50.25
8	25	54.93
8	26	58.01
8	27	56.66
8	28	81.89
8	29	50.58
8	30	33.29
8	31	40.47
8	32	59.55
8	33	70.04
8	34	56.91
8	35	38.4
8	36	41.96
8	37	38.69
8	38	47.98
8	39	43.62
8	40	51.62
8	41	60.94
8	42	49.93
8	43	48.97
8	44	52.22
8	45	55.46
8	46	59.24
8	47	74.76
8	48	65.08
8	49	81.88
8	50	92.6
8	51	59.7
8	52	73.67
8	53	79.42
8	54	85.28
8	55	69.54
8	56	62.43
8	57	76.94
8	58	56.19
8	59	40.79
8	60	49.91
8	61	61.56
8	62	48.22
8	63	61.78
8	64	55.94
9	10	27.7
9	11	42.64
9	12	14.15
9	13	34.67
9	14	39.83
9	15	55.19
9	16	36.18
9	17	63.93
9	18	40.82
9	19	26.42
9	20	26.35
9	21	37.82
9	22	44.71
9	23	51.94
9	24	54.06
9	25	60.75
9	26	60.83
9	27	56.48
9	28	84.71
9	29	40.11
9	30	22.81
9	31	25.99
9	32	40.07
9	33	55.99
9	34	45.21
9	35	43.21
9	36	41.03
9	37	39.51
9	38	32.38
9	39	47.43
9	40	55.44
9	41	63.76
9	42	54.75
9	43	62.78
9	44	61.87
9	45	59.31
9	46	61.56
9	47	80.08
9	48	67.4
9	49	85.2
9	50	103.92
9	51	65.52
9	52	79.48
9	53	79.24
9	54	79.09
9	55	72.35
9	56	41.62
9	57	79.18
9	58	59.38
9	59	46.98
9	60	42.1
9	61	64.75
9	62	36.41
9	63	41.97
9	64	37.28
10	11	31.99
10	12	28.2
10	13	27.44
10	14	31.17
10	15	60.54
10	16	50.61
10	17	68.36
10	18	55.94
10	19	40.96
10	20	47.4
10	21	53.91
10	22	52.29
10	23	55.64
10	24	65.9
10	25	64.04
10	26	80.35
10	27	70.0
10	28	70.54
10	29	60.16
10	30	43.87
10	31	48.05
10	32	70.13
10	33	103.04
10	34	67.26
10	35	76.73
10	36	76.09
10	37	74.03
10	38	55.44
10	39	68.0
10	40	76.23
10	41	77.68
10	42	74.09
10	43	78.85
10	44	75.93
10	45	73.36
10	46	80.61
10	47	98.13
10	48	80.45
10	49	70.26
10	50	110.97
10	51	79.58
10	52	100.55
10	53	94.3
10	54	77.61
10	55	62.19
10	56	32.26
10	57	68.24
10	58	54.56
10	59	36.26
10	60	31.74
10	61	48.56
10	62	27.06
10	63	30.62
10	64	82.24
11	12	33.06
11	13	31.49
11	14	35.21
11	15	63.57
11	16	53.49
11	17	71.24
11	18	59.82
11	19	44.57
11	20	52.62
11	21	50.98
11	22	51.35
11	23	58.7
11	24	65.96
11	25	67.1
11	26	70.56
11	27	68.21
11	28	93.61
11	29	66.38
11	30	49.08
11	31	51.26
11	32	65.34
11	33	98.26
11	34	69.48
11	35	78.95
11	36	75.3
11	37	69.24
11	38	61.65
11	39	65.06
11	40	73.29
11	41	73.5
11	42	70.3
11	43	75.06
11	44	73.14
11	45	70.58
11	46	76.83
11	47	90.35
11	48	77.67
11	49	98.47
11	50	117.19
11	51	77.8
11	52	95.76
11	53	97.52
11	54	87.83
11	55	82.25
11	56	61.94
11	57	85.3
11	58	61.63
11	59	53.32
11	60	48.43
11	61	74.08
11	62	56.74
11	63	46.3
11	64	73.31
12	13	19.91
12	14	43.27
12	15	59.71
12	16	34.42
12	17	46.17
12	18	40.02
12	19	18.31
12	20	22.55
12	21	52.13
12	22	53.64
12	23	56.99
12	24	66.73
12	25	65.42
12	26	78.5
12	27	70.15
12	28	95.38
12	29	40.31
12	30	19.02
12	31	25.2
12	32	39.28
12	33	77.19
12	34	46.41
12	35	35.88
12	36	33.24
12	37	32.18
12	38	33.59
12	39	53.1
12	40	64.11
12	41	68.43
12	42	60.23
12	43	62.0
12	44	59.08
12	45	56.51
12	46	63.76
12	47	84.28
12	48	64.6
12	49	84.41
12	50	103.12
12	51	71.73
12	52	87.7
12	53	90.45
12	54	89.76
12	55	74.02
12	56	45.34
12	57	82.91
12	58	66.1
12	59	53.71
12	60	44.82
12	61	61.47
12	62	40.14
12	63	41.7
12	64	54.01
13	14	20.15
13	15	41.44
13	16	22.13
13	17	38.88
13	18	32.46
13	19	23.72
13	20	53.8
13	21	46.28
13	22	49.23
13	23	56.58
13	24	63.99
13	25	64.98
13	26	66.75
13	27	64.4
13	28	91.63
13	29	69.56
13	30	50.27
13	31	44.45
13	32	60.53
13	33	91.44
13	34	69.67
13	35	74.14
13	36	73.49
13	37	64.43
13	38	51.84
13	39	64.14
13	40	69.74
13	41	74.68
13	42	67.49
13	43	68.25
13	44	73.33
13	45	70.77
13	46	78.02
13	47	87.54
13	48	77.85
13	49	98.66
13	50	117.38
13	51	76.98
13	52	92.95
13	53	91.71
13	54	85.02
13	55	80.28
13	56	52.67
13	57	84.18
13	58	59.43
13	59	52.04
13	60	47.15
13	61	71.8
13	62	47.47
13	63	44.03
13	64	69.34
14	15	32.24
14	16	22.3
14	17	42.66
14	18	45.36
14	19	40.73
14	20	46.82
14	21	62.3
14	22	58.97
14	23	73.32
14	24	72.0
14	25	71.72
14	26	78.76
14	27	70.42
14	28	108.23
14	29	61.58
14	30	43.28
14	31	45.46
14	32	70.54
14	33	83.46
14	34	60.68
14	35	81.15
14	36	82.5
14	37	64.45
14	38	69.85
14	39	67.15
14	40	73.75
14	41	81.7
14	42	81.5
14	43	78.26
14	44	83.34
14	45	80.78
14	46	87.03
14	47	97.55
14	48	87.87
14	49	100.67
14	50	118.39
14	51	86.0
14	52	99.96
14	53	91.72
14	54	96.03
14	55	96.87
14	56	53.11
14	57	85.92
14	58	70.88
14	59	53.48
14	60	48.6
14	61	66.25
14	62	47.91
14	63	52.47
14	64	62.92
15	16	39.35
15	17	24.6
15	18	76.27
15	19	71.12
15	20	68.17
15	21	68.52
15	22	75.34
15	23	81.69
15	24	86.35
15	25	88.1
15	26	90.11
15	27	83.76
15	28	112.6
15	29	88.93
15	30	63.63
15	31	66.81
15	32	77.89
15	33	110.81
15	34	88.03
15	35	83.5
15	36	84.85
15	37	85.79
15	38	77.2
15	39	77.37
15	40	83.97
15	41	94.05
15	42	86.85
15	43	81.61
15	44	85.69
15	45	87.13
15	46	93.38
15	47	99.9
15	48	94.22
15	49	103.02
