1	2	8.16	7.94
1	3	6.60	11.88
1	4	16.77	18.14
1	5	14.05	22.58
1	6	7.71	11.74
1	7	14.07	13.46
1	8	16.31	22.05
1	9	22.38	19.00
1	10	23.75	21.08
1	11	27.01	30.15
1	12	25.01	23.88
1	13	27.72	28.32
1	14	32.70	32.52
1	15	40.05	56.24
1	16	30.16	35.33
1	17	40.91	57.35
1	18	34.78	46.46
1	19	28.17	29.28
1	20	21.81	26.11
1	21	3.39	11.55
1	22	9.17	11.98
1	23	14.14	18.82
1	24	13.01	18.47
1	25	19.28	26.91
1	26	15.34	34.66
1	27	20.01	30.49
1	28	36.05	63.83
1	29	27.78	34.55
1	30	22.32	24.99
1	31	25.58	30.38
1	32	33.47	41.95
1	33	41.08	104.37
1	34	22.69	31.74
1	35	16.33	28.22
1	36	18.93	27.11
1	37	13.50	18.00
1	38	27.56	31.99
1	39	7.98	17.22
1	40	12.51	16.56
1	41	14.82	23.68
1	42	14.15	17.58
1	43	16.42	21.69
1	44	19.73	22.66
1	45	23.82	23.79
1	46	22.81	32.23
1	47	28.00	43.61
1	48	26.08	44.21
1	49	30.89	44.21
1	50	32.97	68.72
1	51	27.01	45.36
1	52	34.29	56.63
1	53	29.98	62.25
1	54	31.07	75.04
1	55	26.77	51.34
1	56	24.06	45.34
1	57	21.95	40.60
1	58	21.10	23.93
1	59	15.06	16.39
1	60	21.53	34.48
1	61	21.48	32.19
1	62	24.17	25.65
1	63	33.00	37.96
1	64	24.66	30.64
2	3	8.76	11.07
2	4	10.17	17.75
2	5	7.46	10.05
2	6	8.80	10.05
2	7	10.10	10.51
2	8	10.26	19.10
2	9	13.67	16.06
2	10	17.53	20.92
2	11	20.99	31.03
2	12	16.59	21.22
2	13	21.12	25.66
2	14	26.11	31.77
2	15	33.46	55.49
2	16	23.57	32.66
2	17	34.32	54.68
2	18	26.47	43.79
2	19	22.53	26.61
2	20	16.70	23.17
2	21	10.56	10.03
2	22	14.25	13.89
2	23	19.61	20.73
2	24	20.26	17.05
2	25	25.68	28.40
2	26	23.05	33.18
2	27	27.72	29.01
2	28	43.21	62.48
2	29	23.03	31.61
2	30	17.57	22.05
2	31	21.91	27.52
2	32	29.80	39.10
2	33	40.24	55.00
2	34	20.84	28.88
2	35	12.66	25.27
2	36	19.29	25.39
2	37	13.86	16.28
2	38	23.89	29.14
2	39	14.79	15.51
2	40	17.44	14.84
2	41	21.75	21.96
2	42	17.50	15.86
2	43	23.60	19.97
2	44	20.79	20.94
2	45	25.74	22.07
2	46	26.49	30.51
2	47	27.97	41.90
2	48	28.87	34.06
2	49	32.22	42.49
2	50	35.76	67.00
2	51	29.78	43.64
2	52	37.06	54.91
2	53	32.75	60.53
2	54	38.79	73.32
2	55	33.94	49.99
2	56	24.98	47.63
2	57	25.07	42.88
2	58	24.22	26.21
2	59	16.55	18.67
2	60	22.45	35.37
2	61	24.59	34.47
2	62	27.53	26.53
2	63	26.41	38.85
2	64	27.78	31.52
3	4	17.40	22.37
3	5	14.51	25.08
3	6	10.66	13.43
3	7	16.57	15.75
3	8	17.31	24.34
3	9	20.73	21.58
3	10	20.61	25.30
3	11	23.87	34.37
3	12	23.65	26.74
3	13	29.19	31.18
3	14	31.20	36.75
3	15	38.55	60.46
3	16	30.62	38.18
3	17	41.37	60.21
3	18	32.92	49.31
3	19	29.52	32.13
3	20	23.15	28.69
3	21	5.58	10.33
3	22	6.48	12.45
3	23	11.83	19.29
3	24	13.39	17.11
3	25	17.91	27.38
3	26	18.42	33.30
3	27	23.11	29.14
3	28	36.41	62.39
