0	0.649323
1	0.678085
2	0.714037
3	0.704735
4	0.765038
5	0.69883
6	0.72206
7	0.777597
8	0.74787
9	0.777051
10	0.760924
11	0.771616
12	0.771963
13	0.842061
14	0.935586
15	0.757177
16	0.727968
17	0.893124
18	0.81595
19	0.806067
20	0.706913
21	0.719878
22	0.770593
23	0.74187
24	0.814817
25	0.795059
26	0.817441
27	0.962361
28	0.840702
29	0.781996
30	0.774825
31	0.866372
32	0.877844
33	0.840689
34	0.804916
35	0.81604
36	0.749288
37	0.813225
38	0.742238
39	0.727277
40	0.769485
41	0.742519
42	0.767761
43	0.773687
44	0.784021
45	0.845842
46	0.881253
47	0.848543
48	0.888104
49	0.923189
50	0.910275
51	0.889185
52	0.915795
53	0.974617
54	0.937234
55	0.87596
56	0.80896
57	0.758516
58	0.717583
59	0.834938
60	0.808195
61	0.813436
62	0.87039
63	0.852612
