0	0.538713
1	0.566754
2	0.536827
3	0.538438
4	0.506081
5	0.516573
6	0.523955
7	0.500742
8	0.532475
9	0.526037
10	0.505794
11	0.566027
12	0.574391
13	0.570523
14	0.596585
15	0.53129
16	0.603374
17	0.542721
18	0.550909
19	0.477907
20	0.485161
21	0.466272
22	0.539349
23	0.511867
24	0.562121
25	0.510277
26	0.579534
27	0.677725
28	0.47026
29	0.503108
30	0.584693
31	0.616892
32	0.56046
33	0.531874
34	0.423157
35	0.518191
36	0.511141
37	0.576153
38	0.509286
39	0.492209
40	0.472872
41	0.511604
42	0.514529
43	0.524768
44	0.594164
45	0.537623
46	0.510664
47	0.576609
48	0.505625
49	0.45412
50	0.597295
51	0.579581
52	0.469777
53	0.651066
54	0.612486
55	0.576213
56	0.52232
57	0.583942
58	0.554906
59	0.535322
60	0.548361
61	0.614725
62	0.610113
63	0.574551
