,sngl,rad,ext,M
1,1.48527220748,1.53403978382,1.53400648783,1.50349188152
2,1.41506578904,0.481609477339,1.45432375939,1.47229159025
3,1.44194901444,1.49218409538,1.49100763423,1.46681996069
4,1.42439726084,2.34492823098,1.95872745952,1.42421190779
5,1.15475938992,1.35076876494,1.24269470642,1.2473885697
6,1.5547928076,2.06690872582,1.76687934923,1.56403182343
7,1.49332872605,1.20759174548,1.38823722494,1.57291654591
8,1.36175977383,0.892164420265,1.10833201984,1.44653567589
9,1.73865581141,2.7271612454,2.34292945523,1.76267821083
10,1.70187452286,1.34148006524,1.46373395647,1.80665841863
11,1.42154731925,1.30071794938,1.34657175993,1.46386399627
12,1.23501583331,1.00896480117,1.13841614346,1.34447687405
13,1.30985199042,1.14255837465,1.23538266132,1.42969152457
14,1.3536772229,1.21913568385,1.27901304798,1.45289540603
15,1.05051661879,0.817112030312,0.968340750159,1.12034377281
16,1.56275504632,3.40595199347,2.30718531439,1.57111340782
17,1.49073395907,3.19014385162,2.09578341658,1.34571430449
18,1.16923915732,1.07537064753,1.10638662347,1.21732641287
19,1.36010953111,1.08380257809,1.22238071422,1.4498368315
20,1.45747598311,1.40189396887,1.32948965362,1.56312679614
21,1.5205926948,1.26488499929,1.43235726832,1.5883001959
22,1.47396203263,1.44414096557,1.53207956236,1.74880513038
23,1.39640564736,1.28946726021,1.36569559703,1.46813911398
24,1.53034470528,1.50606055458,1.53602343284,1.61642810086
25,1.19185278983,0.866959325958,1.03217568163,1.32408275676
26,1.48383007808,3.28865199174,2.15497029977,1.36689406482
27,1.21625552341,1.35343116687,1.24082422145,1.31427762591
28,0.959004468461,0.757288050862,0.870408884822,1.02677849974
29,1.48842917251,1.2972641605,1.42187805823,1.57352797558
30,1.39669512493,1.07499631576,1.16286595841,1.54522299502
31,1.17032604907,0.908022597469,1.06124912569,1.256931113
32,1.03565212509,0.741210536826,0.86534221489,1.17414261953
33,1.35213729424,1.44473429048,1.37557634422,1.3654891841
34,1.20509540641,0.970714423075,1.0726764286,1.29119890308
35,1.33599235951,1.18978651798,1.27067329417,1.38918489871
36,1.37669785459,1.3864564085,1.35894035202,1.43374477987
37,1.3782987703,1.28147674749,1.36756538989,1.41515205361
38,1.18172357189,0.830621392767,1.01980297547,1.34389347657
39,1.40640571058,1.65262826764,1.50777943885,1.4574643587
40,1.73947751359,1.71084528614,1.77870883853,1.82006104636
41,1.66640299001,1.561159173,1.6501071326,1.72469725967
42,1.59758398535,1.41096426485,1.53749109221,1.68187411134
43,1.58534582689,1.65717528038,1.64951773033,1.72278581674
44,1.44739708916,1.27636153917,1.38490233394,1.52537425996
45,1.42873525897,1.13797893222,1.30703787558,1.52696092704
46,1.19068410116,1.03058551968,1.08023551587,1.29679325559
47,1.22525929297,1.08513091712,1.18924562667,1.28542058612
48,1.18014816446,0.893068805304,1.06732136588,1.24803062782
49,1.22850654432,0.983593766777,1.0950235329,1.37619415609
50,0.884716262767,0.550611281127,0.673132514046,1.06392312456
51,0.956247672749,0.724463645353,0.776209650341,1.01789483998
52,1.04573139259,0.868411900808,0.957805966314,1.08763276881
53,0.975504165505,0.710860329362,0.797611715596,1.0382235535
54,0.757035033615,0.805840557056,0.702473304077,0.843802541116
55,0.910739365344,0.729622695853,0.806493757863,1.00471068872
