1,4562
2,4644
3,4455
4,31469
5,15699
6,7444
7,23539
8,29648
9,2916
10,5391
11,12231
12,25171
13,33337
14,17631
15,18667
16,6521
17,20781
18,10570
19,16723
20,1929
21,28867
22,9718
23,27672
24,21111
25,21300
26,23500
27,41446
28,11183
29,34686
30,6681
31,41077
32,12746
33,15672
34,14753
35,12486
36,1506
37,3657
38,35440
39,6495
40,10773
41,6506
42,6367
43,12007
44,16024
45,11334
46,8852
47,19086
48,45707
49,9044
50,1498
51,256
52,19217
53,713
54,4937
55,15833
56,4549
57,16609
58,24745
59,14654
60,13439
61,37845
62,13949
63,22906
64,4783
