,Orgin,Destination,Trip Duration
318,6,20,27.12
319,6,21,12.3
320,6,22,16.19
321,6,23,23.03
322,6,24,19.32
323,6,25,30.68
324,6,26,5.0
325,6,27,31.29
326,6,28,64.76
327,6,29,35.56
328,6,30,26.0
329,6,31,28.6
330,6,32,40.18
331,6,33,56.08
332,6,34,29.96
333,6,35,28.24
334,6,36,25.33
335,6,37,16.22
336,6,38,30.22
337,6,39,15.43
338,6,40,14.78
339,6,41,21.89
340,6,42,15.8
341,6,43,19.9
342,6,44,20.88
343,6,45,22.0
344,6,46,30.44
345,6,47,41.83
346,6,48,34.0
347,6,49,42.42
348,6,50,66.93
349,6,51,43.57
350,6,52,54.84
351,6,53,60.46
352,6,54,73.25
353,6,55,75.35
354,6,56,50.99
355,6,57,46.25
356,6,58,29.58
357,6,59,22.04
358,6,60,40.28
359,6,61,37.84
360,6,62,31.44
361,6,63,43.76
362,6,64,36.43
363,7,8,13.83
364,7,9,15.69
365,7,10,21.92
366,7,11,32.22
367,7,12,22.22
368,7,13,26.66
369,7,14,32.77
370,7,15,56.48
371,7,16,33.66
372,7,17,55.68
373,7,18,44.79
374,7,19,27.45
375,7,20,23.83
376,7,21,14.62
377,7,22,18.51
378,7,23,25.35
379,7,24,21.64
380,7,25,33.0
381,7,26,37.77
382,7,27,33.61
383,7,28,67.08
384,7,29,30.82
385,7,30,21.43
386,7,31,23.32
387,7,32,34.89
388,7,33,50.8
389,7,34,24.68
390,7,35,21.07
391,7,36,22.6
392,7,37,17.41
393,7,38,24.93
394,7,39,18.3
395,7,40,17.64
396,7,41,24.76
397,7,42,18.66
398,7,43,22.47
399,7,44,19.6
400,7,45,23.74
401,7,46,30.1
402,7,47,41.49
403,7,48,34.77
404,7,49,42.09
405,7,50,68.67
406,7,51,45.31
407,7,52,56.58
408,7,53,62.2
409,7,54,74.99
410,7,55,54.59
411,7,56,53.1
412,7,57,48.36
413,7,58,31.69
414,7,59,24.15
415,7,60,40.88
416,7,61,39.95
417,7,62,32.04
418,7,63,42.17
419,7,64,34.84
420,8,9,14.02
421,8,10,20.24
422,8,11,30.55
423,8,12,20.54
424,8,13,24.98
425,8,14,31.09
426,8,15,54.81
427,8,16,31.99
428,8,17,54.01
429,8,18,43.12
430,8,19,25.78
431,8,20,22.16
432,8,21,23.22
433,8,22,27.02
434,8,23,33.85
435,8,24,30.24
436,8,25,41.59
437,8,26,46.37
438,8,27,42.2
439,8,28,75.67
440,8,29,26.58
441,8,30,17.18
442,8,31,21.61
443,8,32,34.15
444,8,33,50.06
445,8,34,29.37
446,8,35,29.66
447,8,36,27.49
448,8,37,26.01
449,8,38,26.36
450,8,39,26.89
451,8,40,26.23
452,8,41,33.35
453,8,42,27.25
454,8,43,29.92
455,8,44,27.04
456,8,45,31.18
457,8,46,37.01
458,8,47,47.59
459,8,48,42.22
460,8,49,48.18
461,8,50,76.12
462,8,51,52.75
463,8,52,64.03
464,8,53,69.64
465,8,54,82.44
466,8,55,63.18
467,8,56,60.38
468,8,57,55.63
469,8,58,38.97
470,8,59,31.43
471,8,60,42.24
472,8,61,47.23
473,8,62,38.16
474,8,63,40.5
475,8,64,33.17
476,9,10,15.25
477,9,11,25.56
478,9,12,15.19
479,9,13,19.63
480,9,14,26.1
481,9,15,49.82
482,9,16,26.63
483,9,17,48.65
484,9,18,37.76
485,9,19,19.8
486,9,20,16.18
487,9,21,20.54
488,9,22,23.5
489,9,23,30.33
490,9,24,27.56
491,9,25,38.43
492,9,26,43.69
493,9,27,5.0
494,9,28,72.99
495,9,29,24.62
496,9,30,15.06
497,9,31,23.0
498,9,32,35.55
499,9,33,51.45
500,9,34,30.76
501,9,35,31.51
502,9,36,28.88
503,9,37,26.22
504,9,38,27.75
505,9,39,25.45
506,9,40,24.79
507,9,41,31.91
508,9,42,43.69
509,9,43,29.91
510,9,44,28.43
511,9,45,32.01
512,9,46,38.4
513,9,47,48.98
514,9,48,43.61
515,9,49,49.57
516,9,50,76.95
517,9,51,53.58
518,9,52,64.86
519,9,53,70.47
520,9,54,83.27
521,9,55,60.5
522,9,56,56.86
523,9,57,52.12
524,9,58,35.45
525,9,59,27.91
526,9,60,37.25
527,9,61,43.71
528,9,62,33.17
529,9,63,35.5
530,9,64,28.18
531,10,11,23.72
532,10,12,18.4
533,10,13,20.3
534,10,14,24.39
535,10,15,48.1
536,10,16,27.3
537,10,17,49.32
538,10,18,38.43
539,10,19,22.07
540,10,20,20.76
541,10,21,25.4
542,10,22,25.4
543,10,23,32.24
544,10,24,32.38
545,10,25,40.33
546,10,26,48.55
547,10,27,44.38
548,10,28,77.55
549,10,29,29.2
550,10,30,19.63
551,10,31,27.94
552,10,32,40.47
553,10,33,56.38
554,10,34,35.7
555,10,35,37.74
556,10,36,33.82
557,10,37,31.09
558,10,38,32.68
559,10,39,30.32
560,10,40,29.65
561,10,41,36.77
562,10,42,30.67
563,10,43,34.78
564,10,44,33.37
565,10,45,36.87
566,10,46,43.34
567,10,47,53.92
568,10,48,48.55
569,10,49,54.51
570,10,50,81.81
571,10,51,58.44
572,10,52,69.72
573,10,53,75.33
574,10,54,88.13
575,10,55,65.06
576,10,56,58.76
577,10,57,54.02
578,10,58,37.35
579,10,59,29.71
580,10,60,34.7
581,10,61,44.77
582,10,62,30.62
583,10,63,32.95
584,10,64,25.63
585,11,12,24.78
586,11,13,26.61
587,11,14,30.36
588,11,15,54.08
589,11,16,33.68
590,11,17,55.7
591,11,18,44.81
592,11,19,28.45
593,11,20,31.06
594,11,21,35.71
595,11,22,34.47
596,11,23,41.31
597,11,24,41.45
598,11,25,49.4
599,11,26,58.52
600,11,27,54.35
601,11,28,86.63
602,11,29,39.5
603,11,30,29.94
604,11,31,38.25
605,11,32,50.78
606,11,33,66.68
607,11,34,46.01
608,11,35,48.05
609,11,36,44.13
610,11,37,41.39
611,11,38,42.98
612,11,39,40.62
613,11,40,39.96
614,11,41,47.07
615,11,42,40.98
616,11,43,45.08
617,11,44,43.68
618,11,45,47.18
619,11,46,53.64
620,11,47,64.22
621,11,48,58.86
622,11,49,64.82
623,11,50,92.11
624,11,51,68.75
625,11,52,80.02
626,11,53,85.64
627,11,54,98.43
628,11,55,74.14
629,11,56,67.83
630,11,57,63.09
631,11,58,46.42
632,11,59,38.78
633,11,60,43.77
634,11,61,53.84
635,11,62,39.69
636,11,63,42.02
637,11,64,34.7
638,12,13,18.59
639,12,14,25.32
640,12,15,49.04
641,12,16,25.59
642,12,17,47.61
643,12,18,36.72
644,12,19,20.31
645,12,20,20.69
646,12,21,25.7
647,12,22,28.21
648,12,23,35.05
649,12,24,32.72
650,12,25,43.14
651,12,26,48.85
652,12,27,44.68
653,12,28,78.15
654,12,29,29.13
655,12,30,19.57
656,12,31,27.88
657,12,32,40.41
658,12,33,56.31
659,12,34,35.64
660,12,35,38.04
661,12,36,33.76
662,12,37,31.39
663,12,38,32.61
664,12,39,30.61
665,12,40,29.95
666,12,41,37.07
667,12,42,30.97
668,12,43,35.07
669,12,44,33.31
670,12,45,37.17
671,12,46,43.27
672,12,47,53.85
673,12,48,48.49
674,12,49,54.45
675,12,50,82.11
676,12,51,58.74
677,12,52,70.02
678,12,53,75.63
679,12,54,88.43
680,12,55,65.66
681,12,56,61.57
682,12,57,56.83
683,12,58,40.16
684,12,59,32.62
685,12,60,40.49
686,12,61,48.42
687,12,62,36.41
688,12,63,38.74
689,12,64,31.42
690,13,14,20.2
691,13,15,44.43
692,13,16,20.27
693,13,17,42.3
694,13,18,31.4
695,13,19,17.52
696,13,20,23.79
697,13,21,30.14
698,13,22,32.65
699,13,23,39.49
700,13,24,37.16
701,13,25,47.58
702,13,26,53.29
703,13,27,49.12
704,13,28,82.6
705,13,29,32.23
706,13,30,22.66
707,13,31,30.97
708,13,32,43.5
709,13,33,59.41
710,13,34,38.73
711,13,35,41.26
712,13,36,36.85
713,13,37,35.83
714,13,38,35.71
715,13,39,35.06
716,13,40,34.39
717,13,41,41.51
718,13,42,35.41
719,13,43,39.28
720,13,44,36.4
721,13,45,40.54
722,13,46,46.36
723,13,47,56.94
724,13,48,51.58
725,13,49,57.54
726,13,50,85.48
727,13,51,62.11
728,13,52,73.39
729,13,53,79.0
730,13,54,91.8
731,13,55,70.11
732,13,56,66.01
733,13,57,61.27
734,13,58,44.6
735,13,59,37.06
736,13,60,43.98
737,13,61,52.86
738,13,62,39.9
739,13,63,42.24
740,13,64,34.91
741,14,15,37.14
742,14,16,15.26
743,14,17,41.16
744,14,18,31.94
745,14,19,25.27
746,14,20,31.61
747,14,21,36.25
748,14,22,36.85
749,14,23,43.69
750,14,24,43.27
751,14,25,51.78
752,14,26,59.4
753,14,27,55.23
754,14,28,88.7
755,14,29,40.05
756,14,30,30.48
757,14,31,38.79
758,14,32,51.32
759,14,33,67.23
760,14,34,46.55
761,14,35,48.59
762,14,36,44.67
763,14,37,41.94
764,14,38,43.53
765,14,39,41.16
766,14,40,40.5
767,14,41,47.62
768,14,42,41.52
769,14,43,45.62
770,14,44,44.22
771,14,45,47.72
772,14,46,54.19
773,14,47,64.76
774,14,48,59.4
775,14,49,65.36
776,14,50,92.66
777,14,51,69.29
778,14,52,80.57
779,14,53,86.18
780,14,54,98.98
781,14,55,76.21
782,14,56,70.21
783,14,57,65.47
784,14,58,48.8
785,14,59,41.26
786,14,60,47.73
787,14,61,57.06
788,14,62,43.65
789,14,63,45.99
790,14,64,38.66
791,15,16,42.65
792,15,17,34.66
793,15,18,55.63
794,15,19,52.71
795,15,20,55.32
796,15,21,59.97
797,15,22,60.57
798,15,23,67.4
799,15,24,66.99
800,15,25,75.5
801,15,26,83.12
802,15,27,78.95
803,15,28,112.42
804,15,29,63.76
805,15,30,54.2
806,15,31,62.51
807,15,32,75.04
808,15,33,90.94
809,15,34,70.27
810,15,35,72.31
811,15,36,68.39
812,15,37,65.65
813,15,38,67.24
814,15,39,64.88
815,15,40,64.22
816,15,41,71.33
817,15,42,65.24
818,15,43,69.34
819,15,44,67.94
820,15,45,71.44
821,15,46,77.9
822,15,47,88.48
823,15,48,83.12
824,15,49,89.08
825,15,50,116.37
826,15,51,93.01
827,15,52,104.28
828,15,53,109.9
829,15,54,122.69
830,15,55,99.93
831,15,56,93.93
832,15,57,89.18
833,15,58,72.52
834,15,59,64.98
835,15,60,71.45
836,15,61,80.78
837,15,62,67.37
838,15,63,69.7
839,15,64,62.38
840,16,17,31.15
841,16,18,21.93
842,16,19,23.69
843,16,20,30.31
844,16,21,37.15
845,16,22,39.65
846,16,23,46.49
847,16,24,44.17
848,16,25,54.58
849,16,26,60.3
850,16,27,56.13
851,16,28,89.6
852,16,29,38.76
853,16,30,29.19
854,16,31,37.5
855,16,32,50.03
856,16,33,65.93
857,16,34,45.26
858,16,35,47.79
859,16,36,43.38
860,16,37,42.83
861,16,38,42.24
862,16,39,42.06
863,16,40,41.4
864,16,41,48.51
865,16,42,42.41
866,16,43,45.81
867,16,44,42.93
868,16,45,47.07
869,16,46,52.89
870,16,47,63.47
871,16,48,58.11
872,16,49,64.07
873,16,50,92.01
874,16,51,68.64
875,16,52,79.92
876,16,53,85.53
877,16,54,98.33
878,16,55,77.11
879,16,56,73.01
880,16,57,68.27
881,16,58,51.6
882,16,59,44.06
883,16,60,51.05
884,16,61,59.86
885,16,62,46.97
886,16,63,49.3
887,16,64,41.98
888,17,18,42.77
889,17,19,45.72
890,17,20,52.34
891,17,21,59.17
892,17,22,61.67
893,17,23,68.51
894,17,24,66.19
895,17,25,76.6
896,17,26,82.32
897,17,27,78.15
898,17,28,111.62
899,17,29,60.78
900,17,30,51.21
901,17,31,59.52
902,17,32,72.05
903,17,33,87.96
904,17,34,67.28
905,17,35,69.81
906,17,36,65.4
907,17,37,64.85
908,17,38,64.26
909,17,39,64.08
910,17,40,63.42
911,17,41,70.53
912,17,42,64.43
913,17,43,67.83
914,17,44,64.95
915,17,45,69.09
916,17,46,74.91
917,17,47,85.49
918,17,48,80.13
919,17,49,86.09
920,17,50,114.03
921,17,51,90.66
922,17,52,101.94
923,17,53,107.55
924,17,54,120.35
925,17,55,99.13
926,17,56,95.03
927,17,57,90.29
928,17,58,73.62
929,17,59,66.08
930,17,60,73.07
931,17,61,81.88
932,17,62,68.99
933,17,63,71.32
934,17,64,64.0
935,18,19,34.83
936,18,20,41.45
937,18,21,48.28
938,18,22,50.78
939,18,23,57.62
940,18,24,55.3
941,18,25,65.71
942,18,26,71.43
943,18,27,67.26
944,18,28,100.73
945,18,29,49.89
946,18,30,40.32
947,18,31,48.63
948,18,32,61.16
949,18,33,77.07
950,18,34,56.39
951,18,35,58.92
952,18,36,54.51
953,18,37,53.96
954,18,38,53.37
955,18,39,53.19
956,18,40,52.53
957,18,41,59.64
958,18,42,53.54
959,18,43,56.94
960,18,44,54.06
961,18,45,58.2
962,18,46,64.02
963,18,47,74.6
964,18,48,69.24
965,18,49,75.2
966,18,50,103.14
967,18,51,79.77
968,18,52,91.05
969,18,53,96.66
970,18,54,109.46
971,18,55,88.24
972,18,56,84.14
973,18,57,79.4
974,18,58,62.73
975,18,59,55.19
976,18,60,62.18
977,18,61,70.99
978,18,62,58.1
979,18,63,60.43
980,18,64,53.11
981,19,20,23.01
982,19,21,31.09
983,19,22,33.6
984,19,23,40.44
985,19,24,38.11
986,19,25,48.53
987,19,26,54.24
988,19,27,50.08
989,19,28,83.55
990,19,29,31.45
991,19,30,21.88
992,19,31,30.19
993,19,32,42.72
994,19,33,58.63
995,19,34,37.95
996,19,35,40.48
997,19,36,36.07
998,19,37,36.78
999,19,38,34.93
1000,19,39,36.01
1001,19,40,35.34
1002,19,41,42.46
1003,19,42,36.15
1004,19,43,38.5
1005,19,44,35.62
1006,19,45,39.76
1007,19,46,45.59
1008,19,47,56.17
1009,19,48,50.8
1010,19,49,56.76
1011,19,50,84.7
1012,19,51,61.33
1013,19,52,72.61
1014,19,53,78.22
1015,19,54,91.02
1016,19,55,71.06
1017,19,56,66.96
1018,19,57,62.22
1019,19,58,45.55
1020,19,59,38.01
1021,19,60,45.82
1022,19,61,53.81
1023,19,62,41.74
1024,19,63,44.07
1025,19,64,36.74
1026,20,21,27.65
1027,20,22,30.47
1028,20,23,37.31
1029,20,24,34.67
1030,20,25,45.4
1031,20,26,50.8
1032,20,27,46.63
1033,20,28,80.1
1034,20,29,24.39
1035,20,30,14.82
1036,20,31,23.14
1037,20,32,35.66
1038,20,33,51.57
1039,20,34,30.89
1040,20,35,33.42
1041,20,36,29.01
1042,20,37,30.7
1043,20,38,27.87
1044,20,39,32.56
1045,20,40,31.23
1046,20,41,39.02
1047,20,42,29.1
1048,20,43,31.44
1049,20,44,28.56
1050,20,45,32.71
1051,20,46,38.53
1052,20,47,49.11
1053,20,48,43.74
1054,20,49,49.7
1055,20,50,77.64
1056,20,51,54.28
1057,20,52,65.55
1058,20,53,71.17
1059,20,54,83.96
1060,20,55,67.61
1061,20,56,63.83
1062,20,57,59.09
1063,20,58,42.42
1064,20,59,34.88
1065,20,60,42.76
1066,20,61,50.68
1067,20,62,38.68
1068,20,63,41.01
1069,20,64,33.68
1070,21,22,10.49
1071,21,23,15.81
1072,21,24,12.02
1073,21,25,23.37
1074,21,26,28.15
1075,21,27,23.98
1076,21,28,57.45
1077,21,29,36.09
1078,21,30,26.53
1079,21,31,30.95
1080,21,32,42.53
1081,21,33,58.43
1082,21,34,32.31
1083,21,35,29.38
1084,21,36,27.68
1085,21,37,18.57
1086,21,38,32.57
1087,21,39,17.78
1088,21,40,16.13
1089,21,41,17.38
1090,21,42,18.15
1091,21,43,21.0
1092,21,44,23.23
1093,21,45,24.35
1094,21,46,32.79
1095,21,47,44.18
1096,21,48,36.34
1097,21,49,44.77
1098,21,50,69.28
1099,21,51,42.58
1100,21,52,57.19
1101,21,53,62.81
1102,21,54,70.72
1103,21,55,44.96
1104,21,56,47.9
1105,21,57,43.16
1106,21,58,26.49
1107,21,59,18.95
1108,21,60,38.16
1109,21,61,34.75
1110,21,62,29.32
1111,21,63,43.57
1112,21,64,36.25
1113,22,23,12.61
1114,22,24,13.8
1115,22,25,20.7
1116,22,26,30.87
1117,22,27,26.7
1118,22,28,58.02
1119,22,29,38.91
1120,22,30,29.35
1121,22,31,34.84
1122,22,32,46.42
1123,22,33,62.32
1124,22,34,36.2
1125,22,35,33.27
1126,22,36,31.57
1127,22,37,22.46
1128,22,38,36.45
1129,22,39,21.45
1130,22,40,18.87
1131,22,41,20.12
1132,22,42,22.03
1133,22,43,23.74
1134,22,44,27.12
1135,22,45,27.73
1136,22,46,36.17
1137,22,47,47.56
1138,22,48,39.73
1139,22,49,48.15
1140,22,50,72.67
1141,22,51,45.33
1142,22,52,60.58
1143,22,53,66.19
1144,22,54,71.29
1145,22,55,45.53
1146,22,56,45.01
1147,22,57,40.27
1148,22,58,23.6
1149,22,59,16.06
1150,22,60,35.27
1151,22,61,31.86
1152,22,62,26.43
1153,22,63,42.29
1154,22,64,34.96
1155,23,24,18.44
1156,23,25,19.54
1157,23,26,32.87
1158,23,27,25.87
1159,23,28,56.86
1160,23,29,45.75
1161,23,30,36.19
1162,23,31,41.68
1163,23,32,53.25
1164,23,33,69.16
